Tamaño	Time	Avr. OB	Min OB	Max OB
10000	0.000000	0.002000	0	4
11000	0.000000	0.001818	0	4
12000	0.000000	0.001667	0	4
13000	0.000000	0.001538	0	4
14000	0.000000	0.001429	0	4
15000	0.000000	0.001333	0	4
16000	0.000000	0.001250	0	4
17000	0.000000	0.001176	0	4
18000	0.000000	0.001111	0	4
19000	0.000000	0.001053	0	4
20000	0.000000	0.001000	0	4
21000	0.000000	0.000952	0	4
22000	0.000000	0.000909	0	4
23000	0.000000	0.000870	0	4
24000	0.000000	0.000833	0	4
25000	0.000000	0.000800	0	4
26000	0.000000	0.000769	0	4
27000	0.000000	0.000741	0	4
28000	0.000000	0.000714	0	4
29000	0.000000	0.000690	0	4
30000	0.000000	0.000667	0	4
31000	0.000000	0.000645	0	4
32000	0.000000	0.000625	0	4
33000	0.000000	0.000606	0	4
34000	0.000000	0.000588	0	4
35000	0.000000	0.000571	0	4
36000	0.000000	0.000556	0	4
37000	0.000000	0.000541	0	4
38000	0.000000	0.000526	0	4
39000	0.000000	0.000513	0	4
40000	0.000000	0.000500	0	4
41000	0.000000	0.000488	0	4
42000	0.000000	0.000476	0	4
43000	0.000000	0.000465	0	4
44000	0.000000	0.000455	0	4
45000	0.000000	0.000444	0	4
46000	0.000000	0.000435	0	4
47000	0.000000	0.000426	0	4
48000	0.000000	0.000417	0	4
49000	0.000000	0.000408	0	4
