Tamaño	Time	Avr. OB	Min OB	Max OB
250	1.366000E-05	7	1	8
275	4.760000E-06	7	1	9
300	2.375333E-05	7	1	9
325	4.381538E-06	7	1	9
350	4.205714E-06	8	1	9
375	4.304000E-06	8	1	9
400	4.315000E-06	8	1	9
425	4.978824E-06	8	1	9
450	4.504444E-06	8	1	9
475	4.425263E-06	8	1	9
500	4.460000E-06	8	1	9
525	4.582857E-06	8	1	10
550	5.347273E-06	8	1	10
575	5.775652E-06	8	1	10
600	5.440000E-06	8	1	10
625	5.246400E-06	8	1	10
650	4.660000E-06	8	1	10
675	5.351111E-06	8	1	10
700	4.881429E-06	9	1	10
725	4.772414E-06	9	1	10
750	5.380000E-06	9	1	10
775	5.437419E-06	9	1	10
800	4.783750E-06	9	1	10
825	4.854545E-06	9	1	10
850	4.805882E-06	9	1	10
875	5.062857E-06	9	1	10
900	4.852222E-06	9	1	10
925	5.230270E-06	9	1	10
950	5.404211E-06	9	1	10
975	5.407179E-06	9	1	10
1000	5.468000E-06	9	1	10
1025	4.829268E-06	9	1	11
1050	5.474286E-06	9	1	11
1075	5.126512E-06	9	1	11
1100	5.613636E-06	9	1	11
1125	5.117333E-06	9	1	11
1150	4.991304E-06	9	1	11
1175	5.567660E-06	9	1	11
1200	5.190833E-06	9	1	11
1225	5.137143E-06	9	1	11
1250	5.390400E-06	9	1	11
1275	5.130196E-06	9	1	11
1300	5.235385E-06	9	1	11
1325	5.408302E-06	9	1	11
1350	5.515556E-06	9	1	11
1375	4.864000E-06	10	1	11
1400	5.117143E-06	10	1	11
1425	5.037193E-06	10	1	11
1450	5.731724E-06	10	1	11
1475	5.387119E-06	10	1	11
1500	4.932667E-06	10	1	11
1525	5.618361E-06	10	1	11
1550	5.545806E-06	10	1	11
1575	4.915556E-06	10	1	11
1600	4.943750E-06	10	1	11
1625	5.104615E-06	10	1	11
1650	5.617576E-06	10	1	11
1675	4.925373E-06	10	1	11
1700	4.851176E-06	10	1	11
1725	5.222029E-06	10	1	11
1750	5.089143E-06	10	1	11
1775	4.877746E-06	10	1	11
1800	4.921111E-06	10	1	11
1825	5.067945E-06	10	1	11
1850	4.895676E-06	10	1	11
1875	4.884267E-06	10	1	11
1900	4.872632E-06	10	1	11
1925	5.219740E-06	10	1	11
1950	5.693333E-06	10	1	11
1975	4.898734E-06	10	1	11
2000	4.872500E-06	10	1	11
2025	5.074568E-06	10	1	11
2050	4.881951E-06	10	1	12
2075	4.867952E-06	10	1	12
2100	4.926667E-06	10	1	12
2125	4.950118E-06	10	1	12
2150	4.998140E-06	10	1	12
2175	4.908506E-06	10	1	12
2200	4.937727E-06	10	1	12
2225	5.008090E-06	10	1	12
2250	4.920889E-06	10	1	12
2275	4.962198E-06	10	1	12
2300	4.995217E-06	10	1	12
2325	4.992258E-06	10	1	12
2350	4.981277E-06	10	1	12
2375	5.629474E-06	10	1	12
2400	5.006250E-06	10	1	12
2425	5.038351E-06	10	1	12
2450	5.013061E-06	10	1	12
2475	4.993535E-06	10	1	12
2500	5.006000E-06	10	1	12
2525	5.040792E-06	10	1	12
2550	5.044706E-06	10	1	12
2575	5.077670E-06	10	1	12
2600	5.059615E-06	10	1	12
2625	5.030095E-06	10	1	12
2650	5.041132E-06	10	1	12
2675	5.467290E-06	10	1	12
2700	5.065556E-06	10	1	12
2725	5.075596E-06	11	1	12
2750	5.090909E-06	11	1	12
2775	5.077477E-06	11	1	12
2800	5.098571E-06	11	1	12
2825	5.098053E-06	11	1	12
2850	5.106316E-06	11	1	12
2875	5.110957E-06	11	1	12
2900	5.102759E-06	11	1	12
2925	5.116923E-06	11	1	12
2950	5.587119E-06	11	1	12
2975	5.117647E-06	11	1	12
3000	5.208667E-06	11	1	12
3025	5.233058E-06	11	1	12
3050	5.142295E-06	11	1	12
3075	5.143415E-06	11	1	12
3100	5.184516E-06	11	1	12
3125	5.230080E-06	11	1	12
